指标,人民币对美元汇率(美元=100)(元),人民币对日元汇率(日元=100)(元),人民币对港元汇率(港元=100)(元),人民币对欧元汇率(欧元=100)(元)
1978年,168.36,0.81,36.16,
1979年,155.49,0.71,31.35,
1980年,149.84,0.66,30.15,
1981年,170.5,0.77,30.41,
1982年,189.25,0.76,31.15,
1983年,197.57,0.83,27.36,
1984年,232.7,0.98,29.71,
1985年,293.67,1.25,37.57,
1986年,345.28,2.07,44.22,
1987年,372.21,2.58,47.74,
1988年,372.21,2.91,47.7,
1989年,376.51,2.74,48.28,
1990年,478.32,3.32,61.39,
1991年,532.33,3.96,68.45,
1992年,551.46,4.36,71.24,
1993年,576.2,5.2,74.41,
1994年,861.87,8.44,111.53,
1995年,835.1,8.92,107.96,
1996年,831.42,7.64,107.51,
1997年,828.98,6.86,107.09,
1998年,827.91,6.35,106.88,
1999年,827.83,7.29,106.66,
2000年,827.84,7.69,106.18,
2001年,827.7,6.81,106.08,
2002年,827.7,6.62,106.07,800.58
2003年,827.7,7.15,106.24,936.13
2004年,827.68,7.66,106.23,1029
2005年,819.17,7.45,105.3,1019.53
2006年,797.18,6.86,102.62,1001.9
2007年,760.4,6.46,97.46,1041.75
2008年,694.51,6.74,89.19,1022.27
2009年,683.1,7.3,88.12,952.7
2010年,676.95,7.73,87.13,897.25
2011年,645.88,8.11,82.97,900.11
2012年,631.25,7.9,81.38,810.67
2013年,619.32,6.33,79.85,822.19
2014年,614.28,5.82,79.22,816.51
2015年,622.84,5.15,80.34,691.41
2016年,664.23,6.12,85.58,734.26
2017年,675.18,6.02,86.64,763.03
2018年,661.74,5.99,84.43,780.16
2019年,689.85,6.33,88.05,772.55
2020年,689.76,6.46,88.93,787.55
2021年,645.15,5.87,83,762.93
2022年,672.61,,,
